No.;Ticker;Company;Sector;Industry;Country;Market Cap;P/E;Price;Change;Volume
1;A;Agilent Technologies Inc.;Technology;Scientific & Technical Instruments;USA;14139.87;12.43;40.64;-0.61%;2019759
2;AA;Alcoa, Inc.;Basic Materials;Aluminum;USA;9199.26;;8.62;-1.26%;16429639
3;AACC;Asset Acceptance Capital Corp.;Financial;Credit Services;USA;138.47;9.38;4.5;0.67%;21363
4;AADR;WCM/BNY Mellon Focused Growth ADR ETF;Financial;Exchange Traded Fund;USA;;;30.83;0.13%;7900
5;AAIT;iShares MSCI AC Asia Information Tech;Financial;Exchange Traded Fund;USA;;;27.3;0.18%;4040
6;AAME;Atlantic American Corp.;Financial;Life Insurance;USA;60.8;16;2.88;1.77%;500
7;AAN;Aaron's, Inc.;Services;Rental & Leasing Services;USA;2069.17;12.61;27.37;-0.15%;267365
8;AAON;AAON Inc.;Industrial Goods;General Building Materials;USA;486.68;23.62;19.84;-1.00%;78138
9;AAP;Advance Auto Parts Inc.;Services;Auto Parts Stores;USA;5233.5;13.61;71.34;1.05%;619267
10;AAPL;Apple Inc.;Technology;Personal Computers;USA;484511.79;11.66;515.06;0.40%;16208121
11;AAT;American Assets Trust, Inc.;Financial;REIT - Office;USA;1087.45;161.41;27.44;0.55%;37472
12;AAU;Almaden Minerals Ltd.;Basic Materials;Industrial Metals & Minerals;Canada;183.94;30.8;3.08;-2.53%;124959
13;AAV;Advantage Oil & Gas Ltd.;Basic Materials;Oil & Gas Drilling & Exploration;Canada;542.18;;3.22;-0.31%;366629
14;AAWW;Atlas Air Worldwide Holdings Inc.;Services;Air Services, Other;USA;1167.33;10.54;44.15;-0.90%;146363
15;AAXJ;iShares MSCI All Country Asia ex Jpn Idx;Financial;Exchange Traded Fund;USA;2004.34;;59.3;0.25%;206680
16;AB;AllianceBernstein Holding L.P.;Financial;Asset Management;USA;1782.63;;16.95;0.36%;170492
17;ABAX;Abaxis Inc.;Healthcare;Diagnostic Substances;USA;800.74;34.74;36.48;-1.86%;125002
18;ABB;ABB Ltd.;Industrial Goods;Industrial Electrical Equipment;Switzerland;48123.45;16.37;20.79;0.73%;1258274
19;ABC;AmerisourceBergen Corporation;Services;Drugs Wholesale;USA;10179.8;16.01;43.23;0.26%;1553834
20;ABCB;Ameris Bancorp;Financial;Regional - Mid-Atlantic Banks;USA;295.84;38.81;12.42;0.32%;60373
21;ABCD;Cambium Learning Group, Inc.;Services;Education & Training Services;USA;58.91;;1.22;-9.63%;15140
22;ABCO;Advisory Board Co.;Services;Business Services;USA;1686.12;67.24;48.41;0.25%;156695
23;ABCS;Guggenheim ABC High Dividend;Financial;Exchange Traded Fund;USA;;;18.79;0.21%;9236
24;ABCW;Anchor BanCorp Wisconsin, Inc.;Financial;Savings & Loans;USA;8.02;;0.37;5.71%;37758
25;ABFS;Arkansas Best Corporation;Services;Trucking;USA;237.75;185.6;9.28;-1.90%;238822
26;ABG;Asbury Automotive Group, Inc.;Services;Auto Dealerships;USA;969.88;11.7;30.78;-0.42%;141774
27;ABIO;ARCA biopharma, Inc.;Healthcare;Biotechnology;USA;5.81;;0.38;-6.00%;35764
28;ABM;ABM Industries Inc.;Services;Business Services;USA;1081.67;17.44;19.88;-0.90%;161015
29;ABMC;American Bio Medica Corp.;Healthcare;Diagnostic Substances;USA;3.78;;0.17;16.00%;1101
30;ABMD;Abiomed Inc.;Healthcare;Medical Appliances & Equipment;USA;540.7;40.09;13.63;-0.29%;713509
31;ABR;Arbor Realty Trust Inc.;Financial;REIT - Diversified;USA;189.69;;6.07;0.33%;38585
32;ABT;Abbott Laboratories;Healthcare;Drug Manufacturers - Major;USA;102822.59;15.83;65.05;-0.02%;5134502
33;ABTL;Autobytel Inc.;Technology;Internet Information Providers;USA;34.69;28;3.92;-1.26%;12569
34;ABV;Companhia de Bebidas Das Americas (AMBEV);Consumer Goods;Beverages - Brewers;Brazil;131138.59;27.77;41.93;0.55%;1208011
35;ABVA;Alliance Bankshares Corporation;Financial;Regional - Mid-Atlantic Banks;USA;24.68;;4.83;0.00%;0
36;ABX;Barrick Gold Corporation;Basic Materials;Gold;Canada;34282.61;10.23;34.26;0.47%;7162119
37;ACAD;ACADIA Pharmaceuticals, Inc.;Healthcare;Biotechnology;USA;257.05;;4.54;-0.44%;1016870
38;ACAS;American Capital, Ltd.;Financial;Asset Management;USA;3788.88;2.53;12;-0.41%;3030414
39;ACAT;Arctic Cat Inc.;Consumer Goods;Recreational Vehicles;USA;434.07;13.71;32.76;-2.70%;136733
40;ACC;American Campus Communities Inc.;Financial;REIT - Residential;USA;4815.07;69.73;46.02;-0.15%;884318
41;ACCL;Accelrys Inc.;Technology;Application Software;USA;516.9;44.24;9.29;-0.32%;155605
42;ACCO;ACCO Brands Corporation;Consumer Goods;Office Supplies;USA;823.44;5.56;7.28;-0.82%;411847
43;ACCU;Accuvest Global Opportunities ETF;Financial;Exchange Traded Fund;USA;;;27.92;0.00%;0
44;ACE;ACE Limited;Financial;Property & Casualty Insurance;Switzerland;27055.67;10.13;79.62;-0.47%;1068231
45;ACET;Aceto Corp.;Basic Materials;Chemicals - Major Diversified;USA;267.18;14.04;9.83;0.61%;96378
46;ACFC;Atlantic Coast Financial Corporation;Financial;Regional - Southeast Banks;USA;5.76;;2.19;4.29%;10728
47;ACFN;Acorn Energy, Inc.;Technology;Computer Peripherals;USA;134.97;;7.49;3.45%;69641
48;ACG;AllianceBernstein Income Fund, Inc.;Financial;Closed-End Fund - Debt;USA;1972.43;9.67;8.12;-0.37%;559782
49;ACGL;Arch Capital Group Ltd.;Financial;Property & Casualty Insurance;Bermuda;5931.73;8.67;43.44;0.14%;570847
50;ACH;Aluminum Corporation Of China Limited;Basic Materials;Aluminum;China;6210.45;;11.48;0.35%;101780
51;ACHC;Acadia Healthcare Company, Inc.;Healthcare;Specialized Health Services;USA;1094.5;;22.41;0.00%;276223
52;ACHN;Achillion Pharmaceuticals, Inc.;Healthcare;Biotechnology;USA;659.22;;8.29;-3.27%;731127
53;ACI;Arch Coal Inc.;Basic Materials;Industrial Metals & Minerals;USA;1522.05;;7.17;-3.11%;9578307
54;ACIM;SPDR MSCI ACWI IMI;Financial;Exchange Traded Fund;USA;;;50.33;0.00%;0
55;ACIW;ACI Worldwide, Inc.;Technology;Technical & System Software;USA;1703.97;64.58;43.27;0.77%;196127
56;ACLS;Axcelis Technologies Inc.;Technology;Semiconductor Equipment & Materials;USA;149.95;;1.39;-0.71%;518290
57;ACM;AECOM Technology Corporation;Services;Technical Services;USA;2603.65;;24.09;-0.12%;570226
58;ACMP;Access Midstream Partners, L.P.;Basic Materials;Oil & Gas Refining & Marketing;USA;2585.42;22.44;32.76;-0.64%;311432
59;ACN;Accenture plc;Technology;Information Technology Services;Ireland;53513.05;16.85;66.22;-0.11%;4110999
60;ACNB;ACNB Corp.;Financial;Regional - Southwest  Banks;USA;96.05;11.35;16.12;0.10%;950
61;ACO;Amcol International Corp.;Basic Materials;Industrial Metals & Minerals;USA;977.34;14.63;30.58;0.13%;73999
62;ACOM;Ancestry.com Inc.;Technology;Internet Information Providers;USA;1384;19.16;32;-0.06%;1902566
63;ACOR;Acorda Therapeutics, Inc.;Healthcare;Biotechnology;USA;974.68;28.22;24.27;-1.22%;259161
64;ACPW;Active Power Inc.;Industrial Goods;Diversified Machinery;USA;333.16;;3.49;3.25%;53619
65;ACRE;Ares Commercial Real Estate Corporation;Financial;REIT - Diversified;USA;151.75;23.72;16.37;-0.97%;73068
66;ACRX;AcelRx Pharmaceuticals, Inc.;Healthcare;Drug Manufacturers - Major;USA;139.19;;3.96;-0.50%;109804
67;ACTG;Acacia Research Corporation;Services;Research Services;USA;1195.46;24.5;24.01;-2.00%;390743
68;ACTS;Actions Semiconductor Co., Ltd.;Technology;Semiconductor - Specialized;China;110.37;;1.63;0.00%;50819
69;ACTV;The Active Network, Inc.;Technology;Application Software;USA;284.68;;4.7;-1.67%;509153
70;ACU;Acme United Corp.;Consumer Goods;Housewares & Accessories;USA;34.18;10.18;10.99;0.82%;1783
